Key,Type,Source,ko,en,es,zh-cn,zh-tw
PetName_1,Default text,Pet_Name_1,주니어 부기,Jr. Boogie,Jr. Boogie,小布吉,幼魔精靈
PetName_2,Default text,Pet_Name_2,주니어 불독,Jr. Bulldog,Jr. Bulldog,小猎犬,小獵犬
PetName_3,Default text,Pet_Name_3,초록 개구리,Green Frog,Rana verde,绿蛙,綠蛙
PetName_4,Default text,Pet_Name_4,핑크 물범,Pink Seal,Foca rosa,粉色海豹,粉色海豹
PetName_5,Default text,Pet_Name_5,북 치는 토끼,Drumming Bunny,Conejito tamborilero,击鼓的兔子,兔子鼓手
PetName_6,Default text,Pet_Name_6,예티 인형,Yeti Doll,Muñeco yeti,白雪人玩偶,雪吉拉玩偶
PetName_7,Default text,Pet_Name_7,브라운 베어,Brown Bear,Oso marrón,棕熊,棕色熊熊
PetName_8,Default text,Pet_Name_8,화이트 몽,White Monkey,Monito blanco,白猴,白猴
PetDesc_1,Default text,Pet_Desc_1,불을 다루는 꼬마 정령. 아직 어려서 자기 능력을 잘 제어하지 못한다.,"It's too young to have mastered its fire powers yet, so good luck with that!","Es demasiado joven para que ya haya dominado sus poderes de fuego, así que, ¡buena suerte con eso!",玩火的小精灵。现在年龄还小，还无法控制好自己的能力。,操控火焰的小精靈。現在年紀還小，還無法控制好自己的能力。
PetDesc_2,Default text,Pet_Desc_2,말을 잘 듣는 새끼 불독. 당신이 어딜 가든 쫄래쫄래 따라다닐 것이다.,A droopy-faced fellow who will follow you to the ends of the earth.,Un sujeto de rostro caído que te seguirá hasta los confines del mundo.,听话的小猎犬。去任何地方都会屁颠屁颠地跟着你。,聽話的小獵犬。去任何地方都會緊緊的跟著你。
PetDesc_3,Default text,Pet_Desc_3,눈이 왕 큰 개구리. 생각보다 멍청하다.,I regret to inform you that it is as dumb as it looks.,Lamento informarte que es tan idiota como luce.,眼睛很大的青蛙。比想象的要笨。,眼睛超大的青蛙。比想像的還笨。
PetDesc_4,Default text,Pet_Desc_4,갓 태어난 핑크 물범. 물 밖에서도 잘 살아갈 수 있게 특별한 훈련을 받았다.,A special variety of seal that can survive entirely outside the water.,Una especie de foca especial que puede sobrevivir estando completamente por fuera del agua.,刚出生的粉色海豹。接受了特殊训练，以适应水外环境。,剛出生的粉色海豹。接受過特殊訓練，能夠適應水外的環境。
PetDesc_5,Default text,Pet_Desc_5,늘 북을 치고 있는 토끼 인형. 함께하는 사람을 응원해주는 즐거운 북소리를 낸다.,Plays the drum with an energizing beat.,Toca el tambor con un ritmo vigorizante.,一直击鼓的兔子玩偶。为助威朋友会打出让人欢快的鼓声。,一直在打鼓的兔子玩偶。發出為同行之人加油打氣的歡樂鼓聲。
PetDesc_6,Default text,Pet_Desc_6,하얗고 조그맣게 만들어진 예티 모양 인형. ,Oh my gosh. Just look at this little guy.,"Oh, cielos. Solo mira este pequeñín.",白嫩又小巧的白雪人模样的玩偶。 ,白嫩又小巧的雪吉拉模樣的玩偶。
PetDesc_7,Default text,Pet_Desc_7,태엽으로 움직이는 갈색 곰 인형. 정교하게 만들어져서 제법 튼튼하고 귀엽다.,Unbearably cute.,Insoportablemente tierno.,通过上发条转动的棕熊玩偶。做的很精致，非常结实又可爱。,用轉動發條驅動的褐色熊玩偶。做得很精緻，非常結實又可愛。
PetDesc_8,Default text,Pet_Desc_8,하얀 털을 가진 특이한 원숭이. 소문에 의하면 주인에게 행운을 가져다 준다고 한다.,A little monkey said to bring good fortune and bananas.,Un pequeño monito que se dice que trae buena suerte y bananas.,长了一身白毛的奇特的猴子。据说会给主人带来幸运。,長了一身白毛的奇特猴子。據說會給主人帶來幸運。
4001,Default text,TipMessage_Id_1,채광게임에서 한 번 타격하면 내 채광력만큼 광맥의 내구도를 깎아요. 타이밍 결과에 따라 1.5배~0배까지 깎는 양도 달라진답니다.,Time your strikes well when mining to do more damage to the deposit!,¡Calcula bien los golpes al minar para causar más daño al yacimiento!,在采矿游戏中，敲打一次时会削减相当于我的采矿能力的矿脉耐久度。削减值会根据敲打时机最多削减1.5倍。,在採礦遊戲中，每敲擊一次，就會根據我的採礦力消耗礦脈的耐久度。根據時機結果，會消耗1.5倍～0倍不等的值。
4002,Default text,TipMessage_Id_2,"한 번 캔 광맥은 사라지지만, 다음 탐험에서 다시 만날 수 있어요.",Mineral deposits can only be mined once per trip.,Los yacimientos de minerales solo se pueden minar una vez por viaje.,采完一次的矿脉会消失，但仍可以在下次探险中见到矿脉。,採完一次的礦脈會消失，但在下次探險中還是會再次遇見礦脈。
4003,Default text,TipMessage_Id_3,광맥은 내구도만큼 광물을 떨어뜨려요. 내구도가 300 인 광맥은 총 300개의 광물을 떨어뜨린답니다.,The number of minerals in a deposit is equal to its durability.,La cantidad de minerales de un yacimiento es igual a su durabilidad.,矿脉会掉落相当于耐久度数值的矿物。比如耐久度300的矿脉会总共掉落300个矿物。,礦脈會掉落相當於耐久度數值的礦物。比如，耐久度300的礦脈總共會掉落300個礦物。
