id,tooltip,etc
1,"성공 시, 사거리 증가, 흡혈, 슈퍼 모드 중 랜덤한 버프가 적용됩니다.",버프 보상
2,"성공 시, 회피율 증가, 물리 대미지 증가, 마법 대미지 증가, 슈퍼 모드 중 랜덤한 버프가 적용됩니다.",좋은 버프 보상
3,"성공 시, 메소, 주문서 중 랜덤한 아이템이 지급됩니다.",재화 보상
4,"성공 시, 소울 에그, 메소, 주문서 중 랜덤한 아이템이 지급됩니다.",좋은 재화 보상
5,메소는 소울과 방어구 레벨 업에 소모됩니다.,메소
6,에너지 스톤은 소울 레벨 업에 필요합니다.,에너지 스톤
7,다이아는 상점에서 사용 가능합니다.,다이아
8,주문서는 방어구 레벨 업에 필요합니다.,주문서
9,"보유한 무기, 방어구, 장신구를 등록하여 능력치를 영구 강화시킵니다. 등록한 장비는 소멸합니다.",장비 도감
10,계정 레벨을 올리면 보상이 지급되며 탐색대의 효율이 증가합니다.,계정 레벨
11,다양한 성장을 통해 전투력을 강화시킬 수 있습니다.,전투력
12,소울 에그를 사용하면 무기가 등장합니다.,소울 에그
13,한계 돌파를 통해 최대 레벨 한도를 높일 수 있습니다. ,소울 레벨
14,특성 코인은 계정 레벨 업 보상으로 획득할 수 있습니다.,특성 코인
15,"사용 시, 같은 종류의 소울 피스를 5개 획득할 수 있습니다. (소울 종류 랜덤)",소울 피스
16,"사용 시, 무작위 소울 더스트를 250 ~ 350개 획득할 수 있습니다.",많은 소울 더스트 주머니
17,"사용 시, 무작위 소울 더스트를 10 ~ 50개 획득할 수 있습니다.",소울 더스트 주머니
18,"검은 사슬 대미지 스킨 1개, 검은 마법사 명찰 1개, 검은 마법사 말풍선 1개, 에너지 스톤 100개, 다이아 5000개가 포함되어 있습니다.",한계의 땅 1위 보상 상자
19,"V 대미지 스킨 1개, V 명찰 1개, V 말풍선 1개, 2500 다이아가 포함되어 있습니다.",한계의 땅 2위 보상 상자
20,"어드벤처 대미지 스킨 1개, 어드벤처 명찰 1개, 어드벤처 말풍선 1개, 1500 다이아가 포함되어 있습니다.",한계의 땅 3위 보상 상자
21,4위 ~ 1000위에 기록된 플레이어는 500 다이아를 획득합니다.,다이아
22,"- 소울 에그 사용 시 각 확률에 따라 정해진 등급의 무기를 획득할 수 있습니다.
- 소울 에그에서 등장하는 무기 목록 및 확률은 <color=#7DE9FC>상점 > 확률 정보</color>에서 확인할 수 있습니다.",소울 에그
23,[필드 전용] 필드 몬스터를 대상으로 적용되는 대미지가 증가합니다.,필드 공격력
24,[필드 전용] 필드에서 플레이어의 최대 체력과 체력 재생량이 증가합니다.,필드 체력
25,[필드 전용] 필드에서 플레이어의 최대 마나와 마나 재생량이 증가합니다.,필드 마나
26,[필드 전용] 필드에서 무기 소환 재사용 대기 시간이 감소합니다.,필드 재사용 대기 시간 감소
27,SP는 필드 레벨업으로 획득할 수 있으며 레벨에 따라 투자할 수 있는 최대 스탯이 늘어납니다.,스탯 포인트(SP)
28,필드 모드에서는 미션을 수행할 수 없습니다.,주의 사항
29,필드 모드에서는 퀘스트를 수행할 수 없습니다.,주의 사항
30,필드젬은 필드 상점에서 사용 가능합니다.,필드젬
