Key,Source,Note,en,ko,es,zh-cn,zh-tw
Event,Event,,Event,이벤트,Evento,活动,活動
AttendanceEvent,Attendance Event,,Attendance Event,출석 이벤트,Evento de asistencia,签到活动,簽到活動
HotTimeEvent,Hot Time Event,,Hot Time Event,핫타임 이벤트,Evento Temporada candente,快乐时光活动,Hot time活動
SpecialEventTitle_1,Just check-in to get a pack!,,Just check-in to get a pack!,출석만 해도 팩 준다!,¡Solo ingresa y recibirás un paquete!,签到送卡包！,簽到就可以領卡包！
SpecialEventTitle_2,Surprise Gift! Attendance Check Event,,Surprise Gift! Attendance Check Event,깜짝 선물! 출석 체크 이벤트,¡Regalo sorpresa! Evento de asistencia,惊喜好礼！签到活动,驚喜好禮！簽到活動
SpecialEventEndTime,<color=#ffdc51>{0} Day(s){1}</color> until Event Ends,,<color=#ffdc51>{0} Day(s){1}</color> until Event Ends,이벤트 종료까지 <color=#ffdc51>{0}일 {1}</color>,<color=#ffdc51>{0} Day(s){1}</color> para que termine el evento,离活动结束还剩<color=#ffdc51>{0}天{1}</color>,距離活動結束剩<color=#ffdc51>{0}天{1}</color>
SpecialEventUpdateTime,<color=#ffdc51>{0}</color> until Attendance Reward Refresh,,<color=#ffdc51>{0}</color> until Attendance Reward Refresh,출석 보상 갱신까지 <color=#ffdc51>{0}</color>,<color=#ffdc51>{0}</color> para la actualización de recompensas por asistencia,离签到奖励更新还剩<color=#ffdc51>{0}</color>,距離簽到獎勵更新還剩<color=#ffdc51>{0}</color>
Receive,Claim,,Claim,받기,Obtener,领取,領取
EventNotice,Event Notes,,Event Notes,이벤트 유의사항,Notas del evento,活动注意事项,活動注意事項
SpecialEventNotice,"1. Check-in Rewards refresh every day at 15:00 (UTC+0).\n2. You can participate in this event once per day per account.\n3. Rewards (card packs) are opened immediately upon clicking the Claim button.\n4. You can claim rewards that correspond to the check-in day when you log in to Maple Duel during the event.\n5. If you logged in during the event but haven't claimed rewards, you can claim them before the event ends, but not after.\n6. For more information, check the notices posted in [MapleStory Worlds] - [Original World Notices].",,"1. Check-in Rewards refresh every day at 15:00 (UTC+0).\n2. You can participate in this event once per day per account.\n3. Rewards (card packs) are opened immediately upon clicking the Claim button.\n4. You can claim rewards that correspond to the check-in day when you log in to Maple Duel during the event.\n5. If you logged in during the event but haven't claimed rewards, you can claim them before the event ends, but not after.\n6. For more information, check the notices posted in [MapleStory Worlds] - [Original World Notices].","1. 출석 보상은 매일 15:00(UTC+0) 기준으로 갱신됩니다.\n2. 본 이벤트는 하루에 한 번 계정당 1회만 참여할 수 있습니다.\n3. 보상(카드팩)은 이벤트 화면에서 '받기' 버튼 클릭 시 즉시 개봉됩니다.\n4. 이벤트 기간 동안 메이플 듀얼 접속 시 출석 일차에 따른 보상을 수령하실 수 있습니다.\n5. 이벤트 기간 동안 접속하였으나 이벤트 보상을 수령하지 않았을 경우 이벤트 기간 전까지 보상을 수령하실 수 있으며, 이벤트 기간이 종료된 후에는 보상을 수령하실 수 없습니다.\n6. 더 자세한 내용은 [메이플스토리 월드 공지사항] - [오리지널 월드 공지사항] 내 관련 공지사항을 통해 확인하실 수 있습니다.","1. Las recompensas por asistencia se restablecen todos los días a las 15:00 (UTC+0).\n2. Puedes participar en este evento una vez por cuenta.\n3. Las recompensas (paquetes de cartas) se abren inmediatamente al hacer clic en el botón Obtener.\n4. Puedes obtener recompensas que corresponden al día de asistencia cuando inicias sesión en Maple Duel durante el evento.\n5. Si iniciaste sesión durante el evento pero no has obtenido recompensas, puedes reclamarlas antes de que termine el evento, pero no después.\n6.  Para obtener más información, mira los avisos de [MapleStory Worlds] - [Avisos del mundo original].",1. 签到奖励将于每天15:00（UTC+0）更新。\n2. 本次活动每个账号每天仅可参与一次。\n3. 玩家点击活动页面中的“领取”按钮时，立即开启奖励（卡包）。\n4. 活动期间登录冒险岛决斗，即可领取对应签到天数的奖励。\n5. 如果在活动期间登录过游戏但未领取奖励，可在活动结束前随时领取奖励，但活动结束后无法领取。\n6. 详情请前往【冒险岛世界公告事项】-【原创世界公告事项】查看相关公告。,1.簽到獎勵將於每天15:00(UTC+0)為基準更新。\n2.本活動每個帳號一天僅限參加一次。\n3.在活動畫面點擊「領取」時將立即開啟獎勵(卡包)。\n4.於活動期間上線《楓之谷決鬥》即可領取該簽到日期的簽到獎勵。\n5.於活動期間上線卻未領取獎勵時，可於活動期間結束前領取獎勵，活動期間結束後則無法領取獎勵。\n6.更詳細的內容可透過[楓之谷世界公告事項] - [原創世界公告事項]內的相關公告事項確認。
HotTimeTalk_1,Play ranked matches during hot time!,,Play ranked matches during hot time!,핫타임에 랭크전을 플레이하면!!,¡Juega partidas clasificatorias durante la temporada candente!,在快乐时光挑战排位战？爽翻天！,在Hot time時段遊玩排位戰吧！
HotTimeTalk_2,Participation & Victory Meso Rewards\nup by 50% each,,Participation & Victory Meso Rewards\nup by 50% each,"플레이 메소 보상, 승리 메소 보상이 \n각각 50% 증가",Las recompensas en mesos por participación y victorias\naumentan un 50 % cada una,游玩后的枫币奖励与胜利后的枫币奖励\n各增加50%,遊玩楓幣獎勵、勝利楓幣獎勵\n各增加50%
HotTimeTalk_3,"06:00 - 09:00 (UTC+0, 3 hours)\n12:00 - 15:00 (UTC+0, 3 hours)",,"06:00 - 09:00 (UTC+0, 3 hours)\n12:00 - 15:00 (UTC+0, 3 hours)","06:00 ~ 09:00 (UTC+0, 3시간)\n12:00 ~ 15:00 (UTC+0, 3시간)","06:00 - 09:00 (UTC+0, 3 horas)\n12:00 - 15:00 (UTC+0, 3 horas)",06:00 ~ 09:00（UTC+0，3小时）\n12:00 ~ 15:00（UTC+0，3小时）,"14:00 ~ 17:00 (UTC+8, 3小時)\n20:00 ~ 23:00 (UTC+8, 3小時)"
HotTimeTalk_4,"02:00 - 04:00 (UTC+0, 2 hours)\n10:00 - 12:00 (UTC+0, 2 hours)",,"02:00 - 04:00 (UTC+0, 2 hours)\n10:00 - 12:00 (UTC+0, 2 hours)","02:00 ~ 04:00 (UTC+0, 2시간)\n10:00 ~ 12:00 (UTC+0, 2시간)","02:00 - 04:00 (UTC+0, 2 horas)\n10:00 - 12:00 (UTC+0, 2 horas)",02:00 ~ 04:00（UTC+0，2小时）\n10:00 ~ 12:00（UTC+0，2小时）,"10:00 ~ 12:00 (UTC+8, 2小時)\n18:00 ~ 20:00 (UTC+8, 2小時)"
Weekday,Weekday,,Weekday,평일,Día de semana,平日,平日
Weekend,Weekend,,Weekend,주말,Fin de semana,周末,周末
CardPackSingle,1 Card Pack,,1 Card Pack,카드 팩 1개,1 paquete de tarjetas,1个卡包,卡包1個
CardPackMultiple,5 Card Packs,,5 Card Packs,카드 팩 5개,5 paquetes de tarjetas,5个卡包,卡包5個
CardPack,Card Pack,,Card Pack,카드 팩,Paquete de tarjetas,卡包,卡包
Classic,Classic,,Classic,클래식,Clásico,经典,經典
Nautilus,Nautilus,,Nautilus,노틸러스,Nautilus,诺特勒斯,鯨魚號
