Key,Source,type,ko,Arguments,en,es,zh-cn,zh-tw
NameManagementLevel0,새싹,Default text,새싹,,Sprout,Brote,萌新,新芽
NameManagementLevel1,브론즈,Default text,브론즈,,Bronze,Bronce,青铜,青銅
NameManagementLevel2,실버,Default text,실버,,Silver,Plata,白银,白銀
NameManagementLevel3,골드,Default text,골드,,Gold,Oro,黄金,黃金
NameManagementLevel4,루비,Default text,루비,,Ruby,Rubí,红宝石,紅寶石
NameManagementLevel5,플래티넘,Default text,플래티넘,,Platinum,Platino,铂金,白金
StartBtnText,시작하기,Default text,시작하기,,Start,Iniciar,开始,開始
ResetBtnText,초기화,Default text,초기화,,Reset,Restablecer,重置,重置
AchiDesc10013,손님이 주는 팁을 터치하거나 팁 박스를 업그레이드 해보세요!,Default text,손님이 주는 팁을 터치하거나 팁 박스를 업그레이드 해보세요!,,Collect the tips your customers left or Upgrade the Tip Box!,¡Recolecta las propinas que te dejaron tus clientes o mejora la caja de propinas!,点击顾客给的小费或升级小费箱吧！,點擊客人給的小費或升級小費箱吧！
AchiDesc10004,#해산물 유행을 노리세요! 평소에도 #해산물 버거는 1개 이상 등록해두세요.,Default text,#해산물 유행을 노리세요! 평소에도 #해산물 버거는 1개 이상 등록해두세요.,,Follow the trend and register at least 1 #Seafood Burger,Sigue la moda y registra al menos una hamburguesa de #mariscos.,#跟上海鲜流行趋势！平时也要上架1个以上的#海鲜汉堡。,#瞄準海鮮潮流吧！平時也請登錄1個以上的#海鮮漢堡。
AchiDesc10006,#매움 유행을 노리세요! 평소에도 #매움 버거는 1개 이상 등록해두세요.,Default text,#매움 유행을 노리세요! 평소에도 #매움 버거는 1개 이상 등록해두세요.,,Follow the trend and register at least 1 #Spicy Burger,Sigue la moda y registra al menos una hamburguesa #picante.,#跟上辣味流行趋势！平时也要上架1个以上的#辣味汉堡。,#瞄準辣味潮流吧！平時也請登錄1個以上的#辣味漢堡。
AchiDesc10007,"조리 가구 성능 연구, 메뉴 콤보 세팅, 번 스킨 효과가 도움이 돼요.",Default text,"조리 가구 성능 연구, 메뉴 콤보 세팅, 번 스킨 효과가 도움이 돼요.",,"Furniture Performance Research, Menu Combo Layout, and Bun Skin effects help.","Ayuda sobre la investigación de rendimiento de muebles, el diseño de combo del menú y los efectos del aspecto de pan.",烹饪家具性能研究、菜单组合设定、面包胚皮肤效果会起到帮助。,研究料理家具、設定菜單組合、麵包造型效果有益。
