Id,RowIndex,ParentPageId,ContentType,OrderIndex,GuideContentTextKey,VlookupGuideContentTextKey
GC000001,1,GP01,Title,1,GP01_1TextKey,츄츄버거 1호점은?
GC000002,2,GP01,Desc,2,GP01_2TextKey,"<color=#e77e18>츄츄</color>들과 함께 <color=#e77e18>버거</color> 가게를 직접 경영해 보세요! \n더 맛있는 버거 <color=#e77e18>레시피</color>를 연구하고, 유행하는 메뉴를 판매해 최고의 <color=#e77e18>수익</color>을 올려보세요. \n수익을 투자해 가게를 점점 성장시키고, <color=#e77e18>맛집 랭킹</color> 1등을 차지하는 건 바로 사장님의 몫! \n더 넓은 세계로 나아가 각 지역에서 맛집 랭킹 1등에 도전하고, <color=#e77e18>츄슐랭 7성</color> 버거 가게 오너가 되는 그날까지—."
GC000003,3,GP01,Title,3,GP01_3TextKey,매장에 츄츄를 배치하세요!
GC000004,4,GP01,Desc,4,GP01_4TextKey,"<color=#e77e18>주방</color>에 배치된 츄츄는 맛있는 버거를 조리하고, <color=#e77e18>계산대</color>에 배치된 츄츄는 손님의 주문을 받아요! \n츄츄가 매장에서 일하려면 가구가 1개씩 필요합니다. \n 츄츄를 <color=#e77e18>모집</color>해서 지원한 츄츄 중에 하나를 선택해서 <color=#e77e18>계약</color>하고, 매장을 더 활기차게 운영해 보세요!"
GC000005,5,GP01,Title,5,GP01_5TextKey,수익을 업그레이드에 투자하세요!
GC000006,6,GP01,Desc,6,GP01_6TextKey,"매장을 <color=#e77e18>업그레이드</color>해 보세요! \n 더 멋진 매장으로 거듭나고, 더 많은 츄츄와 함께 최고의 매장으로 성장할 수 있어요! \n업그레이드를 통해 매장과 사업의 모든 분야를 발전시켜보세요! \n번 돈을 <color=#129ccf>전략적으로 투자</color>하는 것이 바로 사업 <color=#129ccf>성공의 비결</color>입니다. \n수익을 현명하게 활용하고, 꾸준히 업그레이드하면서 더 높은 수익과 성장을 이끌어 보세요!"
GC000007,7,GP01,Title,7,GP01_7TextKey,새로운 버거 레시피 만들기!
GC000008,8,GP01,Desc,8,GP01_8TextKey,"재료 카드를 사용해 새로운 버거 레시피를 만들어보세요! \n정해진 확률에 따라 뽑힌 두 장의 재료 카드 중 하나를 선택해, 양자택일로 레시피를 완성할 수 있어요. \n\n어떤 재료를 넣느냐에 따라 <color=#e77e18>#고기, #채소, #해산물, #치킨, #매움</color> 또는 #개성 없음 같은 태그가 붙어요! \n<color=#129ccf>손님들이 원하는 버거</color>를 메뉴에 등록하고, 더 많은 수익을 올려보세요! \n재료는 <color=#e77e18>출장, 대회</color> 등 다양한 컨텐츠 보상으로 획득할 수 있고, <color=#e77e18>재료 구독 서비스</color>를 통해 꾸준히 모을 수도 있어요. \n지금 바로 자신만의 개성 넘치는 버거 레시피를 만들어보세요!"
GC000009,9,GP01,Title,9,GP01_9TextKey,출장을 떠나세요!
GC000010,10,GP01,Desc,10,GP01_10TextKey,"츄츄들과 함께 신나는 출장을 떠나보세요! \n츄츄 아일랜드에서는 매년 <color=#e77e18>상반기</color>와 <color=#e77e18>하반기</color>, 연 2회 축제가 열려요! 축제 기간 동안 <color=#e77e18>두 번의 출장 기회</color>가 주어지니 절대 놓치지 마세요. \n출장에서는 단순히 돈만 벌 수 있는 게 아니에요! <color=#129ccf>클로버, 재료 상자, EXP 결정</color> 등 다양한 보상이 기다리고 있답니다. \n\n출장을 떠나려면 <color=#e77e18>도시락</color>이 필요해요! \n도시락은 시간이 지나면 자동으로 생산되지만, 부족하다면 상점에서 구매할 수도 있어요. "
