message,message (참고)
Monster_chat_1,킁킁! 무슨 냄새야?
Monster_chat_2,난 가을이 좋아.
Monster_chat_3,비 올 것 같은데?
Monster_chat_4,골드가 없어..
Monster_chat_5,나도 먹을래!
Monster_chat_6,조합이 좋아!
Monster_chat_7,조금 시끄러워!
Monster_chat_8,조용한 것도 좋아!
Monster_chat_9,(꼬르륵..)
Monster_chat_10,날씨 좋아~
Monster_chat_11,아무도 못 봤겠지?
Monster_chat_12,푸리는 귀여워!
Monster_chat_13,(크르릉!)
Monster_chat_14,(크크크..)
Monster_chat_15,조금 덥네~
Monster_chat_16,두근두근~
Monster_chat_17,요리가 좋아~
Monster_chat_18,살짝 졸았네..
Monster_chat_19,(휘리링~)
Monster_chat_20,심심해~
Monster_chat_21,덥다 더워~
Monster_chat_22,"미안한데, 주머니 좀~"
Monster_chat_23,꼭 1등 할래!
Monster_chat_24,누가 뭐라니~
Monster_chat_25,나나! 물 한 잔만~
Monster_chat_26,진짜로 바쁘다고!
Monster_chat_27,고향 생각난다~
Monster_chat_28,따분한데~
Monster_chat_29,방금 봤어?
Monster_chat_30,비행기 날아간다~
Monster_chat_31,앗 따가워!
Monster_chat_32,나 화낸다?!
Monster_chat_33,그거 들었어?
Monster_chat_34,월요일 좋~아~
Monster_chat_35,금요일 좋~아~
Monster_chat_36,난 여름이 좋아.
Monster_chat_37,음..힘들구만~
Monster_chat_38,"괜찮아, 잘 될 거야."
Monster_chat_39,다 잘 될 거야!
Monster_chat_40,모두 행복하자~
Monster_chat_41,천국인가~
Monster_chat_42,앗! 내 눈!
Monster_chat_43,다리가 아프네~
Monster_chat_44,너 맘에 든다~
Monster_chat_45,골드 있어?
Monster_chat_46,산책 갈까?
Monster_chat_47,바로 그거지! 땡큐!
Monster_chat_48,소중해~
Monster_chat_49,친구 생각나~
Monster_chat_50,흐음~
Monster_chat_51,울타리가 있네!
Monster_chat_52,비가 오려나~
Monster_chat_53,배고프당..
Monster_chat_54,손! 발!
Monster_chat_55,커피가 맛있어?
Monster_chat_56,아앗! 등 가려워..
Monster_chat_57,어젠 좀 춥더라~
Monster_chat_58,오잉??
Monster_chat_59,기분 좋아~
Monster_chat_60,좋아 좋아~
Monster_chat_61,간식 주라~
Monster_chat_62,있지~
Monster_chat_63,나도 그랬어~
Monster_chat_64,배가 빵빵!
Monster_chat_65,좋은 기운이~
Monster_chat_66,높아~
Monster_chat_67,높다 높아~
Monster_chat_68,어디야?
Monster_chat_69,나도 할래!
Monster_chat_70,채소도 먹을래!
Monster_chat_71,앗! 발견~
Monster_chat_72,오해라구~
Monster_chat_73,혼난다~
Monster_chat_74,놀아줘~
Monster_chat_75,안아줘~
Monster_chat_76,신나는 하루~
Monster_chat_77,나도 줘~
Monster_chat_78,좋다 좋아!
Monster_chat_79,(밍밍밍~)
Monster_chat_80,저녁이 온다~
Monster_chat_81,조용하네~
Monster_chat_82,저리가!
Monster_chat_83,이리와~
Monster_chat_84,안녕! 안녕!
Monster_chat_85,부드럽네~
Monster_chat_86,너무 좋아!
Monster_chat_87,(으윽..)
Monster_chat_88,깜짝이야~
Monster_chat_89,지각이야~
Monster_chat_90,하하!
Monster_chat_91,잡았다~
Monster_chat_92,어두워~
Monster_chat_93,멈춰봐~
Monster_chat_94,같이 가~
Monster_chat_95,나도 갈래~
Monster_chat_96,저기요!
Monster_chat_97,같이 놀자~
Monster_chat_98,무슨 소리야?
Monster_chat_99,누구 왔어?
Monster_chat_100,주인 어딨어~
Monster_chat_101,고양이 좋아~
Monster_chat_102,(어질어질~)
Monster_chat_103,졸려~
Monster_chat_104,그거 나 주라~
Monster_chat_105,왜?
Monster_chat_106,장난 아닌데!
Monster_chat_107,ㅎㅇ
Monster_chat_108,ㅋㅋㅋ
Monster_chat_109,배고프당
Monster_chat_110,(꼬르륵..)
Monster_chat_111,오냐~
Monster_chat_112,마음에 들어.
Monster_chat_113,(중얼중얼)
Monster_chat_114,?!
Monster_chat_115,내 자리야!
Monster_chat_116,"어이, 밥 갖고 와!"
Monster_chat_117,밥 줘!
Monster_chat_118,삐이이익!
Monster_chat_119,간식을 다오..!
Monster_chat_120,과자 먹고 싶당..
Monster_chat_121,나 불렀어?
Monster_chat_122,물 좀 다오...
Monster_chat_123,"여기, 음료수 한 잔~"
Monster_chat_124,거 누구 없소?
Monster_chat_125,긁어줘..
Monster_chat_126,쓰다듬어주라~
Monster_chat_127,(헥헥..)
Monster_chat_128,고마울쏘냐!
Monster_chat_129,난 몬스터일지도..?
Monster_chat_130,거울 좀 줘봐!
Monster_chat_131,반갑소.
Monster_chat_132,"윽, 냄새!"
Monster_chat_133,어디서..냄새가..
Monster_chat_134,난 꿈을 꾸죠~
Monster_chat_135,졸았어..
Monster_chat_136,달콤한 냄새~
Monster_chat_137,조합되기 싫어!
Monster_chat_138,어디래?
Monster_chat_139,(도망갈까..?)
Monster_chat_140,벌써 아침이야..?
Monster_chat_141,멍멍!!
Monster_chat_142,몸이 간질간질
Monster_chat_143,벌레 좀 잡아줘!
