Key,Type,Source,ko,en,es,zh-cn,zh-tw
UI_store,,,상점,Shop,Tienda,商店,商店
UI_kiosk,,,가판대,Stall,Puesto,售货台,售貨攤
UI_cook,,,요리,Cook,Cocinar,料理,料理
UI_myCook,,,내 요리,My Food,Mi comida,我的料理,我的料理
UI_monster,,,몬스터,Monsters,Monstruos,怪物,怪物
UI_fusion,,,조합,Combine,Combinar,组合,組合
UI_quest,,,일감,Work,Trabajo,工作,工作
UI_book,,,도감,Encyclopedia,Enciclopedia,图鉴,圖鑑
UI_tutorial,,,설명서,Tutorial,Tutorial,说明书,說明書
UI_collection,,,내 컬렉션,My Collection,Mi colección,我的收藏,我的收藏
UI_study,,,연구,Research,Investigación,研究,研究
UI_helper,,,일꾼,Workers,Trabajadores,工人,工人
UI_product,,,부산물,By-products,Subproductos,副产品,副產物
UI_ingredient,,,식재료,Ingredients,Ingredientes,食材,食材
UI_myIngredient,,,내 식재료,My Ingredients,Mis ingredientes,我的食材,我的食材
UI_buy,,,구매하기,Buy,Comprar,购买,購買
UI_requiredItem,,,필요한 재료,Required Ingredients,Ingredientes necesarios,所需材料,所需材料
UI_autoPlaceOn,,,자동 배치 ON,Auto Placement ON,Colocación automática: SÍ,开启自动部署,自動配置ON
UI_autoPlaceOff,,,자동 배치 OFF,Auto Placement OFF,Colocación automática: NO,关闭自动部署,自動配置OFF
UI_helperName1,,,까니,Kani,Kani,卡倪,嘎尼
UI_helperName2,,,묘타,Myota,Myota,苗塔,妙塔
UI_helperName3,,,베리,Berry,Baya,贝利,貝利
UI_speed,,,이동속도,Speed,Velocidad,移动速度,移動速度
UI_takeDelay,,,회수시간,Retrieval Time,Tiempo de recuperación,回收时间,回收時間
UI_second,,,(초),(sec),(s),（秒）,(秒)
UI_sell,,,팔기,Sell,Vender,出售,販售
UI_itemToSell,,,판매할 아이템,Items to Sell,Artículos para vender,待出售的道具,欲販售道具
UI_sellAll,,,일괄 판매,Sell Everything,Vender todo,批量出售,批量販售
UI_sellSingleOn,,,낱개 판매 ON,Individual Sale ON,Venta individual: SÍ,开启单件出售,單個販售ON
UI_sellSingleOff,,,낱개 판매 OFF,Individual Sale OFF,Venta individual: NO,关闭单件出售,單個販售OFF
UI_expandInventory,,,창고 확장하기,Expand Storage,Ampliar almacenamiento,扩张仓库,擴增倉庫
UI_expandCapacity,,,확장하기,Expand,Ampliar,扩张,擴增
UI_notExpandCapacity,,,확장 불가,Cannot Expand,No se puede ampliar,无法扩张,無法擴增
UI_anticipationResult,,,예상 결과,Expected Results,Resultados esperados,预期结果,預想結果
UI_putAllofIngredient,,,재료 일괄 넣기,Add All Ingredients,Agregar todos los ingredientes,批量放入材料,放入全部材料
UI_levelUP,,,레벨 업,Level Up,Subir de nivel,升级,升級
UI_lackOfGold,,,골드 부족,Not Enough Gold,Oro insuficiente,金币不足,黃金不足
UI_startCooking,,,요리 시작,Start Cooking,Comenzar a cocinar,开始料理,開始料理
UI_pot,,,솥,Pot,Maceta,锅,鍋子
UI_tool,,,도구,Tool,Herramienta,工具,工具
UI_suit,,,복장,Outfit,Atuendo,服装,服裝
UI_recipe,,,레시피,Recipe,Receta,配方,食譜
UI_normalInfo,,,기본 정보,Basic Info,Información básica,基本信息,基本資訊
UI_detailInfo,,,세부 정보,Details,Detalles,详细信息,詳細資訊
UI_farewell,,,작별하기,Say Goodbye,Despedirte,道别,道別
UI_bringBack,,,회수하기,Recall,Recuperar,回收,回收
UI_summon,,,소환하기,Summon,Invocar,召唤,召喚
UI_itemToProduce,,,생산 아이템,Items to Make,Artículos para crear,生产道具,生產道具
UI_speedForProducing,,,생산 속도 : {0} 초,Production Speed: {0} sec,Velocidad de producción: {0} s,生产速度：{0}秒,生產速度：{0}秒
UI_percent,,,확률 | {0}%,Probability | {0}%,Probabilidad | {0} %,概率 | {0}%,機率 | {0}%
UI_productNormalQuantity,,,기본 생산량 | {0},Basic Production | {0},Producción básica | {0},基本生产量 | {0},基本生產率 | {0}
UI_productNormalPercent,,,기본 생산 확률  | {0}%,Basic Production Rate | {0}%,Tasa de producción básica | {0} %,基本生产概率 | {0}%,基本生產率 | {0}%
UI_productBonusQuantity,,,보너스 생산량 | {0},Bonus Production | {0},Producción adicional | {0},额外生产量 | {0},加成生產量 | {0}
UI_productBonusPercent,,,보너스 생산 확률 | {0}%,Bonus Production Rate | {0}%,Tasa de producción adicional | {0} %,额外生产概率 | {0}%,加成生產率 | {0}%
UI_personality,,,성격,Personality,Personalidad,性格,個性
UI_skill,,,스킬,Skill,Habilidad,技能,技能
UI_mascot_1,,,이 몬스터를 농장의 마스코트로 지정할까요?,Want to set this monster as the farm's mascot?,¿Quieres designar este monstruo como la mascota de la granja?,是否将该怪物指定为农场吉祥物？,要將此怪物指定為農場的吉祥物嗎？
UI_mascot_2,,,(해당 몬스터와 함께 외출할 수 있어요.),(You can go out with this monster.),(Puedes salir con este monstruo).,（你可以与该怪物一同外出。）,(無法和該怪物一起外出。)
UI_yes,,,확인,Confirm,Confirmar,确定,確認
UI_no,,,취소,Cancel,Cancelar,取消,取消
UI_notification,,,알림,Notification,Notificación,通知,提示
UI_filter,,,필터,Filter,Filtrar,筛选,篩選
UI_noneFilter,,,필터를 적용하지 않음,No Filter,Sin filtro,无筛选,不套用篩選
UI_sortByGeneration,,,세대 정렬,Sort by Generation,Ordenar por generación,按世代排序,世代排列
UI_sortByGrade,,,등급 정렬,Sort by Rank,Ordenar por rango,按级别排序,等級排列
UI_sortBySummonedMonster,,,소환 중인 몬스터만,Only Summoned Monsters,Solo monstruos invocados,仅筛选已召唤的怪物,僅召喚中的怪物
UI_sortByKeepingMonster,,,보관 중인 몬스터만,Only Stored Monsters,Solo monstruos almacenados,仅筛选保管中的怪物,僅保管中的怪物
ToolTip_gold,,,골드,Gold,Oro,金币,黃金
ToolTip_ruby,,,루비,Rubies,Rubíes,红宝石,紅寶石
ToolTip_candy,,,캔디,Candy,Caramelo,糖果,糖果
ToolTip_monsterCount,,,배치된 몬스터 수,Placed Monsters,Monstruos colocados,部署的怪物数量,配置的怪物數量
ToolTip_itemQuantity,,,보유한 아이템 수,Owned Items,Artículos en posesión,持有的道具数量,持有的道具數量
ToolTip_myCon,,,마이콘,My Icon,Mi ícono,我的图标,我的圖示
ToolTip_farmLevel,,,농장 레벨,Farm Level,Nivel de granja,农场等级,農場等級
ToolTip_reputation,,,명성,Reputation,Reputación,声望,名聲
ToolTip_monsterGeneration,,,몬스터 세대,Monster Generation,Generación del monstruo,怪物世代,怪物世代
ToolTip_monsterGrade,,,몬스터 등급,Monster Rank,Rango del monstruo,怪物级别,怪物等級
ToolTip_monsterLevel,,,몬스터 레벨,Monster Level,Nivel del monstruo,怪物等级,怪物等級
ToolTip_monsterPersonality,,,몬스터 성격,Monster Personality,Personalidad del monstruo,怪物性格,怪物個性
ToolTip_monsterSkill,,,몬스터 스킬,Monster Skill,Habilidad del monstruo,怪物技能,怪物技能
ToolTip_mascot,,,마스코트,Mascot,Mascota,吉祥物,吉祥物
ToolTip_gradePercent,,,등급 변동 확률,Rank Change Probability,Probabilidad de cambio de rango,级别变动概率,等級變動機率
ToolTip_sellSingleOn,,,낱개 판매 ON / OFF,Individual Sale ON/OFF,Venta individual: SÍ/NO,开启/关闭单件出售,單個販售ON/OFF
ToolTip_anticipationResult,,,예상 결과,Expected Results,Resultados esperados,预期结果,預想結果
ToolTip_pot,,,솥,Pot,Maceta,锅,鍋子
ToolTip_tool,,,요리 장비,Cooking Equipment,Equipo de cocina,料理装备,料理工具
ToolTip_studyGrade,,,등급 연구,Rank Research,Investigar rango,级别研究,等級研究
ToolTip_studyPersonality,,,성격 연구,Research Personality,Investigar personalidad,性格研究,個性研究
ToolTip_studySkill,,,스킬 연구,Research Skill,Investigar habilidad,技能研究,技能研究
ToolTip_studyGrade2,,,등급 연구,Rank Research,Investigar rango,级别研究,等級研究
ToolTip_studyPersonality2,,,성격 연구,Research Personality,Investigar personalidad,性格研究,個性研究
ToolTip_studySkill2,,,스킬 연구,Research Skill,Investigar habilidad,技能研究,技能研究
ToolTip_autoPlaceOn,,,자동 배치 ON / OFF,Auto Placement ON/OFF,Colocación automática: SÍ/NO,开启/关闭自动部署,自動配置ON/OFF
ToolTip_gold_dsc,,,플레이어가 보유한 재화입니다.\n몬스터 조합과 연구에 사용됩니다.,"A glittering currency, used for monster combination and research.",Una moneda brillante. Sirve para la combinación e investigación de monstruos.,玩家持有的货币。\n可用于怪物的组合和研究。,玩家持有的貨幣。\n用於組合怪物和研究。
ToolTip_ruby_dsc,,,플레이어가 보유한 재화입니다.\n몬스터 조합과 연구에 사용됩니다.,"A glittering currency, used for monster combination and research.",Una moneda brillante. Sirve para la combinación e investigación de monstruos.,玩家持有的货币。\n可用于怪物的组合和研究。,玩家持有的貨幣。\n用於組合怪物和研究。
